MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,HeatingQC,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,WoodDeckSF,OpenPorchSF,MoSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBaths,Remodeled,Age when Sold
60,RL,79.0,9245,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,8,0,Attchd,2006.0,RFn,2,TA,144,53,4,WD,Normal,213500,4533,2.5,No,1
45,RH,60.0,9000,Reg,Lvl,Corner,SawyerW,Norm,1Fam,1.5Unf,6,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,5,0,Detchd,1950.0,Unf,2,Fa,0,0,10,WD,Normal,76000,2352,1.0,Yes,59
60,RL,69.0,53107,IR2,Low,Corner,ClearCr,Feedr,1Fam,2Story,6,Gable,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Ex,Gd,9,2,Attchd,1992.0,Fin,2,TA,216,231,6,WD,Normal,240000,5486,3.5,No,15
120,RL,43.0,3182,Reg,Lvl,Inside,Blmngtn,Norm,TwnhsE,1Story,8,Gable,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Ex,Gd,6,1,Attchd,2004.0,Fin,2,TA,146,20,4,WD,Normal,192000,3794,2.0,Yes,5
50,RL,58.0,8410,Reg,Lvl,FR2,Edwards,Feedr,1Fam,1.5Fin,5,Gambrel,Wd Sdng,VinylSd,None,0.0,TA,Fa,PConc,TA,TA,8,0,NA,1980.0,NA,0,NA,0,151,5,WD,AdjLand,81000,3026,1.0,Yes,10
80,RL,72.0,7200,Reg,Lvl,Inside,Edwards,Norm,1Fam,SLvl,6,Hip,MetalSd,MetalSd,BrkFace,255.0,TA,TA,CBlock,Ex,TA,6,1,Detchd,1977.0,Unf,1,TA,296,0,10,WD,Abnorml,125000,3291,2.0,No,33
20,RL,93.0,9382,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,BrkFace,125.0,Gd,TA,PConc,Ex,Gd,6,0,Attchd,1999.0,RFn,2,TA,120,25,7,WD,Normal,191000,4426,2.0,Yes,8
60,RL,96.0,12474,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,10,Gable,VinylSd,VinylSd,Stone,272.0,Ex,TA,PConc,Ex,Ex,9,1,BuiltIn,2008.0,Fin,3,TA,196,134,8,New,Partial,426000,6346,3.5,Yes,0
50,RL,50.0,8405,Reg,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Ex,TA,7,0,Detchd,1978.0,Unf,1,TA,0,130,4,WD,Normal,119000,3595,2.0,Yes,58
60,RL,71.0,12209,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,Gd,7,1,BuiltIn,2001.0,Fin,2,TA,125,192,6,WD,Normal,215000,4726,3.5,Yes,7
20,RL,69.0,8339,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,MetalSd,MetalSd,None,0.0,TA,TA,Slab,TA,TA,5,0,Attchd,1959.0,RFn,1,TA,0,0,7,WD,Normal,106500,1764,1.0,No,48
30,RL,69.0,7446,Reg,Lvl,Corner,BrkSide,Feedr,1Fam,1Story,4,Gable,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,4,2,NA,1980.0,NA,0,NA,0,0,4,WD,Abnorml,100000,2364,1.0,Yes,56
50,RL,60.0,10134,Reg,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,5,0,Detchd,1940.0,Unf,1,TA,0,39,7,WD,Normal,109000,2803,1.0,Yes,57
20,RL,68.0,9571,Reg,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,6,0,Attchd,1956.0,Unf,1,TA,44,0,6,WD,Normal,129000,3432,2.0,No,54
20,RL,60.0,7200,Reg,Low,Inside,CollgCr,Norm,1Fam,1Story,5,Hip,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,6,0,Detchd,1985.0,RFn,2,TA,215,0,9,WD,Normal,123000,2682,1.0,No,37
60,RL,69.0,7590,Reg,Lvl,Inside,NAmes,PosN,1Fam,2Story,5,Gable,VinylSd,VinylSd,BrkFace,288.0,TA,TA,CBlock,TA,TA,8,1,Attchd,1962.0,RFn,1,TA,0,168,7,WD,Normal,169500,4488,2.0,No,45
30,RM,60.0,8967,Reg,Lvl,Corner,IDOTRR,Norm,1Fam,1Story,5,Gable,MetalSd,MetalSd,None,0.0,TA,Fa,BrkTil,Gd,TA,6,0,Detchd,1920.0,Unf,1,Po,0,0,11,WD,Abnorml,67000,3115,1.0,Yes,57
60,FV,65.0,8125,Reg,Lvl,Inside,Somerst,Norm,1Fam,2Story,7,Gable,CemntBd,CmentBd,Stone,100.0,Gd,TA,PConc,Ex,Gd,7,0,Attchd,2007.0,Fin,2,TA,0,168,10,WD,Normal,241000,4192,3.0,Yes,2
120,RL,38.0,14963,IR2,Lvl,Inside,Veenker,Norm,TwnhsE,1Story,8,Gable,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Ex,Ex,4,2,Attchd,1996.0,Fin,2,TA,120,30,12,WD,Normal,245500,3836,2.5,No,12
20,RL,65.0,8767,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,6,1,Attchd,2005.0,Fin,2,TA,0,0,7,New,Partial,164990,3930,2.0,No,1
30,RL,60.0,10200,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,Ex,TA,4,0,Detchd,1940.0,Unf,1,TA,168,0,8,WD,Normal,108000,2016,1.0,Yes,11
60,RL,93.0,12090,Reg,Lvl,Corner,NoRidge,Norm,1Fam,2Story,8,Hip,VinylSd,VinylSd,BrkFace,650.0,Gd,TA,PConc,Gd,Gd,10,1,BuiltIn,1998.0,Fin,2,TA,144,123,7,WD,Abnorml,258000,5667,2.5,No,8
60,RL,69.0,10364,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,6,Gable,MetalSd,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,7,1,BuiltIn,1995.0,Fin,2,TA,0,40,5,WD,Normal,168000,3950,2.5,Yes,11
20,RL,69.0,9991,IR1,Lvl,Corner,Sawyer,Feedr,1Fam,1Story,4,Gable,Plywood,Plywood,None,0.0,TA,TA,CBlock,Ex,TA,8,1,Attchd,1993.0,Unf,2,TA,120,78,6,WD,Normal,150000,4521,3.0,Yes,16
50,RL,51.0,10480,Reg,Lvl,Inside,SWISU,Norm,1Fam,1.5Fin,6,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Ex,TA,6,0,Detchd,1936.0,Unf,1,TA,0,0,3,WD,Normal,115000,3869,1.0,Yes,58
70,RL,63.0,15576,Reg,Lvl,Inside,Crawfor,Norm,1Fam,2Story,6,Gable,Wd Sdng,Plywood,None,0.0,TA,TA,BrkTil,Ex,TA,8,0,Attchd,1960.0,Unf,1,TA,0,0,3,WD,Normal,177000,4200,2.0,Yes,32
60,RL,109.0,14154,Reg,Lvl,Corner,NridgHt,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Ex,Gd,9,1,Attchd,2006.0,RFn,3,TA,192,62,8,New,Partial,280000,5407,2.5,No,1
60,FV,85.0,10800,Reg,Lvl,Inside,Somerst,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,Stone,100.0,Gd,TA,PConc,Ex,Ex,8,1,Attchd,2008.0,Fin,3,TA,0,102,4,New,Partial,339750,5190,3.5,Yes,0
20,RL,68.0,9571,Reg,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,Gable,BrkComm,Brk Cmn,None,0.0,TA,Fa,CBlock,TA,TA,5,0,Attchd,1958.0,Unf,1,TA,0,0,6,COD,Abnorml,60000,3828,1.0,No,51
190,RL,100.0,34650,Reg,Bnk,Inside,Gilbert,Norm,2fmCon,1Story,5,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,5,0,Attchd,1955.0,Fin,2,TA,264,0,1,WD,Normal,145000,3168,2.0,No,51
20,FV,69.0,4403,IR2,Lvl,Inside,Somerst,Norm,1Fam,1Story,7,Gable,MetalSd,MetalSd,Stone,432.0,Ex,TA,PConc,Ex,Gd,7,1,Attchd,2009.0,Fin,2,TA,0,144,6,New,Partial,222000,4426,3.5,No,1
30,RM,56.0,8960,Reg,Lvl,Inside,OldTown,Artery,1Fam,1Story,5,Gable,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,Gd,TA,5,1,Detchd,1927.0,Unf,2,TA,0,0,3,WD,Normal,115000,3064,1.0,Yes,60
60,RL,59.0,11228,IR2,Lvl,CulDSac,SawyerW,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,9,1,Attchd,1993.0,Unf,3,TA,196,187,12,WD,Normal,228000,5274,3.0,No,15
20,RL,73.0,8899,IR1,Lvl,Inside,Gilbert,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,6,0,Attchd,2007.0,Fin,2,TA,100,30,8,New,Partial,181134,4020,2.0,No,0
60,RL,74.0,7844,Reg,Lvl,Inside,Sawyer,Norm,1Fam,2Story,6,Hip,HdBoard,HdBoard,BrkFace,203.0,TA,TA,CBlock,TA,TA,6,1,Attchd,1978.0,Fin,2,TA,0,0,3,WD,Normal,149500,3472,1.5,No,28
70,RL,86.0,22420,IR1,Lvl,Inside,Crawfor,Feedr,1Fam,2Story,6,Hip,Wd Sdng,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,10,1,Detchd,1918.0,Unf,3,TA,0,0,11,WD,Normal,239000,6618,3.5,Yes,57
50,RL,60.0,8160,Reg,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,7,0,Detchd,1940.0,Unf,1,TA,0,0,4,WD,AdjLand,126000,3024,2.5,Yes,57
20,RL,65.0,8450,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Ex,TA,6,1,Attchd,1968.0,Unf,1,TA,0,85,7,WD,Normal,142000,3168,2.0,No,42
90,RM,78.0,7060,Reg,Lvl,Inside,Mitchel,Norm,Duplex,SFoyer,7,Gable,VinylSd,VinylSd,BrkFace,200.0,TA,Gd,PConc,Ex,TA,8,0,Attchd,1997.0,Fin,4,TA,0,0,11,WD,Alloca,206300,4032,4.0,Yes,10
20,RL,69.0,16635,IR1,Lvl,FR2,NWAmes,Norm,1Fam,1Story,6,Gable,CemntBd,CmentBd,Stone,126.0,Gd,TA,CBlock,Gd,Gd,8,1,Attchd,1977.0,Fin,2,TA,240,0,6,WD,Normal,215000,4806,2.5,Yes,9
20,RL,100.0,21750,Reg,HLS,Inside,Mitchel,Artery,1Fam,1Story,5,Hip,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Ex,TA,4,0,Attchd,1954.0,RFn,2,TA,0,0,2,WD,Normal,113000,2964,1.0,No,54
60,RL,80.0,9200,Reg,Lvl,Inside,NoRidge,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,BrkFace,473.0,Gd,TA,PConc,Gd,Gd,8,1,Attchd,1998.0,Fin,3,TA,0,66,6,WD,Normal,315000,6730,3.5,No,10
20,RL,72.0,9000,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Gable,Wd Sdng,Wd Sdng,BrkFace,74.0,TA,TA,CBlock,Gd,TA,6,1,Attchd,1956.0,RFn,1,TA,0,44,5,WD,Normal,139000,3588,2.0,No,52
60,RM,60.0,3378,Reg,HLS,Inside,OldTown,Norm,1Fam,2Story,7,Gable,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,6,2,Detchd,1947.0,Unf,1,TA,0,0,9,WD,Normal,135000,3429,1.5,Yes,17
80,RL,69.0,12800,Reg,Low,Inside,SawyerW,Norm,1Fam,SLvl,7,Gable,Wd Sdng,Wd Sdng,BrkFace,145.0,Gd,TA,PConc,Gd,Gd,5,1,Attchd,1989.0,Fin,2,TA,80,0,8,WD,Normal,275000,4806,3.5,No,20
20,RL,77.0,8593,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,4,Hip,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Ex,TA,5,0,Detchd,1964.0,Unf,1,TA,0,0,7,WD,Normal,109008,2721,1.0,No,51
20,RL,64.0,6762,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,BrkFace,108.0,Gd,TA,PConc,Ex,Gd,6,0,Attchd,2007.0,RFn,2,TA,105,54,9,New,Partial,195400,3624,3.0,No,0
20,RL,130.0,11457,IR1,Lvl,Corner,Timber,Norm,1Fam,1Story,6,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,Gd,6,1,Attchd,1988.0,Unf,2,TA,0,0,3,WD,Normal,175000,4216,3.0,No,21
160,RM,21.0,1680,Reg,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,Gable,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,4,0,Detchd,1971.0,Unf,1,TA,0,0,7,COD,Abnorml,85400,2457,1.5,No,37
50,RM,60.0,5586,IR1,Bnk,Inside,OldTown,Feedr,1Fam,1.5Fin,6,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Gd,TA,7,0,NA,1980.0,NA,0,NA,0,98,9,ConLD,Abnorml,79900,3297,1.0,Yes,10
160,RM,24.0,1920,Reg,Lvl,Inside,BrDale,Norm,TwnhsE,2Story,5,Gable,HdBoard,HdBoard,BrkFace,376.0,TA,TA,CBlock,Ex,TA,6,0,Detchd,1971.0,Unf,2,TA,240,36,8,WD,Normal,122500,3495,2.5,No,36
60,RL,100.0,10839,IR1,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,7,1,Attchd,1997.0,Fin,2,TA,0,36,7,WD,Normal,181000,4134,2.5,Yes,10
180,RM,21.0,1890,Reg,Lvl,Inside,MeadowV,Norm,Twnhs,SFoyer,4,Gable,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,Gd,TA,3,0,NA,1980.0,NA,0,NA,88,0,6,WD,Normal,81000,1890,2.0,No,36
60,RL,43.0,10667,IR2,Lvl,CulDSac,CollgCr,PosN,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,6,1,Attchd,1996.0,RFn,2,TA,158,61,4,ConLw,Normal,212000,4121,3.5,No,13
50,RM,40.0,4400,Reg,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,6,Gable,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,6,0,Detchd,1990.0,Unf,2,TA,0,0,10,WD,Normal,116000,2884,1.0,Yes,56
45,RM,50.0,6000,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Unf,6,Gable,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,PConc,Gd,TA,4,0,Detchd,1926.0,Unf,1,TA,0,0,1,WD,Normal,119000,2692,1.0,Yes,5
30,RL,40.0,4280,Reg,Lvl,Inside,Crawfor,Norm,1Fam,1Story,5,Gable,WdShing,Stucco,None,0.0,TA,TA,PConc,TA,Gd,4,1,Detchd,1990.0,Unf,1,Gd,0,0,3,WD,Normal,90350,1828,1.0,Yes,5
50,RL,67.0,12354,Reg,Lvl,Corner,Edwards,Norm,1Fam,1.5Fin,6,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Gd,Gd,7,0,Detchd,2005.0,Unf,2,TA,0,46,8,ConLI,Normal,110000,3076,1.0,Yes,9
90,RL,92.0,12108,Reg,Lvl,Inside,Edwards,Norm,Duplex,1Story,4,Gable,VinylSd,VinylSd,BrkFace,270.0,TA,TA,CBlock,TA,Fa,8,0,NA,1980.0,NA,0,NA,0,0,9,WD,Normal,118000,4320,2.0,No,53
50,RM,52.0,6240,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,TA,8,1,Detchd,1930.0,Unf,2,TA,0,0,6,WD,Normal,162900,4224,2.0,Yes,16
120,RL,53.0,3922,Reg,Lvl,Inside,Blmngtn,Norm,TwnhsE,1Story,7,Gable,WdShing,Wd Shng,BrkFace,72.0,Gd,TA,PConc,Ex,Gd,6,1,Attchd,2007.0,Fin,3,TA,144,16,6,New,Partial,172500,3774,2.0,Yes,0
60,RL,70.0,8750,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Ex,Gd,8,1,Attchd,1994.0,Unf,2,TA,144,133,7,WD,Normal,210000,4731,3.5,Yes,13
20,RL,73.0,9855,Reg,Lvl,Corner,Edwards,Norm,1Fam,1Story,6,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,Fa,TA,7,1,Attchd,1956.0,Unf,2,TA,0,0,11,COD,Normal,127500,4814,1.0,No,53
20,RL,137.0,16492,IR1,Lvl,Corner,NAmes,PosA,1Fam,1Story,6,Gable,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,Ex,Gd,6,1,Attchd,1966.0,Fin,2,TA,0,0,6,WD,Normal,190000,5293,2.5,Yes,8
60,RL,69.0,11214,IR1,Lvl,Corner,Gilbert,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Gd,10,1,Attchd,1998.0,Fin,2,TA,89,0,7,WD,Normal,199900,4702,2.5,Yes,7
50,RM,50.0,8600,Reg,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Fin,6,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,7,1,Detchd,1937.0,Unf,1,TA,0,0,6,WD,Normal,119500,3532,2.0,Yes,56
50,RM,50.0,6000,Reg,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,3,Gable,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,Ex,TA,6,0,Detchd,1981.0,Unf,1,TA,0,176,6,WD,Normal,120000,3015,1.5,Yes,5
30,RM,70.0,5684,Reg,Lvl,Inside,OldTown,Norm,1Fam,1Story,6,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Ex,Gd,5,0,Detchd,1932.0,Unf,1,Fa,0,113,6,WD,Normal,110000,2439,1.0,Yes,1
20,RL,62.0,70761,IR1,Low,Inside,ClearCr,Norm,1Fam,1Story,7,Gable,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,Gd,5,2,Attchd,1975.0,Unf,2,TA,200,54,12,WD,Normal,280000,4599,3.0,No,31
60,RL,69.0,9303,IR1,Lvl,Corner,Timber,Norm,1Fam,2Story,6,Hip,VinylSd,VinylSd,BrkFace,42.0,Gd,TA,PConc,Ex,TA,7,0,Attchd,1996.0,Fin,2,TA,144,122,7,WD,Normal,204000,4384,3.5,Yes,10
60,FV,75.0,9000,Reg,Lvl,Inside,Somerst,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,6,0,Attchd,2008.0,RFn,2,TA,0,30,6,WD,Normal,210000,3948,2.5,No,1
90,RL,63.0,9297,Reg,Lvl,Inside,Mitchel,Norm,Duplex,1Story,5,Gable,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,8,0,Detchd,1976.0,Unf,2,TA,0,0,7,WD,Family,188000,5184,4.0,No,30
20,RL,80.0,9600,Reg,Lvl,Inside,NWAmes,Norm,1Fam,1Story,7,Hip,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,Fa,TA,6,1,Attchd,1973.0,Unf,2,TA,0,0,9,WD,Normal,175500,3726,1.5,No,34
70,RM,34.0,4571,Reg,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,Gable,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,Fa,TA,7,0,Detchd,1916.0,Unf,3,Fa,0,0,5,COD,Abnorml,98000,3312,1.0,Yes,58
20,RL,69.0,53227,IR1,Low,CulDSac,ClearCr,Norm,1Fam,1Story,4,Flat,Plywood,Plywood,None,0.0,TA,TA,CBlock,Ex,Gd,6,2,Attchd,1954.0,Fin,2,TA,224,137,3,WD,Normal,256000,4690,2.0,Yes,14
70,RM,69.0,5100,Reg,Lvl,Inside,OldTown,Norm,1Fam,2Story,8,Hip,Stucco,Wd Shng,None,0.0,TA,Gd,PConc,Fa,Gd,7,1,Detchd,1925.0,Unf,1,TA,192,63,6,WD,Normal,161000,3920,1.0,Yes,12
50,RL,69.0,7015,IR1,Bnk,Corner,BrkSide,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,BrkCmn,161.0,TA,TA,CBlock,TA,Gd,5,1,Detchd,1950.0,Unf,1,TA,0,0,7,WD,Normal,110000,3115,2.0,No,59
60,FV,75.0,8004,IR1,Lvl,Inside,Somerst,RRAn,1Fam,2Story,8,Gable,VinylSd,VinylSd,Stone,110.0,Gd,TA,PConc,Ex,TA,8,0,BuiltIn,2009.0,Fin,2,TA,0,150,12,New,Partial,263435,4702,3.5,No,0
70,RL,60.0,7200,Reg,Lvl,Inside,SWISU,Feedr,1Fam,2Story,7,Gable,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,PConc,Ex,Gd,6,0,Detchd,1971.0,RFn,2,TA,256,0,4,WD,Normal,155000,2830,2.0,Yes,2
20,RL,60.0,8281,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,5,1,Detchd,1965.0,Unf,1,TA,0,0,12,WD,Normal,62383,2592,1.0,No,44
70,RL,74.0,11988,IR1,HLS,Inside,Crawfor,Norm,1Fam,2Story,6,Hip,Stucco,Stucco,None,0.0,TA,TA,CBlock,Fa,TA,6,1,Detchd,1939.0,Unf,1,TA,0,0,8,WD,Normal,188700,4035,1.5,Yes,13
20,RL,60.0,8430,Reg,HLS,Inside,CollgCr,Norm,1Fam,1Story,5,Gable,HdBoard,HdBoard,BrkFace,136.0,TA,TA,CBlock,TA,TA,5,0,NA,1980.0,NA,0,NA,0,0,8,WD,Normal,124000,3120,2.0,No,31
120,RM,69.0,3072,Reg,Lvl,Inside,Blmngtn,Norm,TwnhsE,1Story,7,Hip,VinylSd,VinylSd,BrkFace,18.0,Gd,TA,PConc,Ex,Gd,6,1,Attchd,2004.0,Fin,2,TA,144,20,5,WD,Normal,178740,4203,2.0,No,2
20,RL,85.0,10628,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,7,Flat,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,5,1,Attchd,1970.0,Unf,2,TA,0,0,4,WD,Normal,167000,3831,2.0,No,37
70,RL,79.0,9480,Reg,Lvl,Inside,NAmes,Artery,1Fam,2Story,5,Gable,MetalSd,MetalSd,Stone,224.0,TA,TA,CBlock,Ex,Gd,7,2,Attchd,1942.0,Unf,1,TA,168,0,6,WD,Normal,146500,4016,1.5,Yes,12
20,RL,98.0,11428,IR1,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,Stone,248.0,Gd,TA,PConc,Ex,Gd,7,1,Attchd,2006.0,RFn,3,TA,0,44,5,WD,Normal,250000,4894,2.0,No,1
60,RL,76.0,9291,IR1,Lvl,Corner,SawyerW,RRNe,1Fam,2Story,6,Gable,HdBoard,HdBoard,BrkFace,120.0,Gd,TA,PConc,Ex,Gd,7,0,Attchd,1993.0,RFn,2,TA,144,70,6,WD,Normal,187000,4252,2.5,No,15
120,RL,69.0,6820,IR1,Lvl,Corner,StoneBr,Norm,TwnhsE,1Story,8,Gable,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,TA,Gd,4,0,Attchd,1985.0,RFn,2,TA,0,54,6,WD,Normal,212000,4492,2.5,No,25
60,RL,92.0,11952,Reg,Lvl,Inside,NWAmes,PosA,1Fam,2Story,7,Mansard,WdShing,Plywood,None,0.0,TA,TA,CBlock,TA,TA,8,1,Attchd,1977.0,RFn,2,TA,0,0,11,WD,Normal,190000,4746,2.5,No,30
180,RM,35.0,3675,Reg,Lvl,Inside,Edwards,Norm,TwnhsE,SLvl,6,Gable,VinylSd,VinylSd,BrkFace,80.0,TA,TA,PConc,Ex,TA,5,0,Basment,2005.0,RFn,2,TA,0,28,6,WD,Normal,148000,2691,2.0,No,3
20,RL,110.0,14977,IR1,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,BrkFace,304.0,Gd,TA,PConc,Ex,Gd,7,1,Attchd,2006.0,RFn,3,TA,250,63,7,New,Partial,440000,5928,3.0,Yes,0
120,RL,41.0,5330,Reg,Lvl,Inside,StoneBr,Norm,TwnhsE,1Story,8,Gable,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,Ex,6,0,Attchd,2000.0,RFn,2,TA,96,48,8,WD,Normal,251000,4798,3.0,No,7
20,RL,80.0,8480,Reg,Lvl,Corner,Sawyer,Norm,1Fam,1Story,5,Hip,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,5,0,Detchd,1996.0,Unf,2,TA,0,24,7,WD,Normal,132500,2910,2.0,No,44
20,RL,75.0,13125,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,6,Gable,VinylSd,VinylSd,BrkFace,215.0,TA,TA,PConc,Ex,Gd,7,1,Attchd,1997.0,Fin,2,TA,140,39,4,WD,Normal,208900,4464,3.0,Yes,10
60,RL,105.0,13693,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,Hip,VinylSd,VinylSd,BrkFace,772.0,Ex,TA,PConc,Ex,Ex,9,1,BuiltIn,2006.0,Fin,3,TA,414,84,3,WD,Normal,380000,7439,2.5,No,1
20,RL,79.0,10637,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,Hip,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,Gd,7,1,Attchd,2007.0,RFn,3,TA,208,44,9,WD,Normal,297000,5141,3.0,Yes,1
30,RM,50.0,5925,Reg,Bnk,Inside,OldTown,Norm,1Fam,1Story,4,Hip,Stucco,Stucco,BrkCmn,435.0,TA,TA,BrkTil,TA,TA,7,0,Detchd,1995.0,Unf,2,TA,0,72,3,WD,Alloca,89471,3169,1.0,Yes,7
20,RL,98.0,16033,IR1,Lvl,FR2,NridgHt,Norm,1Fam,1Story,9,Hip,VinylSd,VinylSd,BrkFace,378.0,Gd,TA,PConc,Ex,Gd,8,1,Attchd,2004.0,Fin,3,TA,519,112,3,WD,Normal,326000,5533,3.0,Yes,1
